incia,badgenum
DI22-0033,3388
DI22-0034,3414
DI22-0036,3406
DI22-0038,3385
DI22-0043,3433
DI22-0043,3438
DI22-0045,3421
DI22-0062,3410
DI22-0071,3403
DI22-0073,3370
DI22-0073,3442
DI22-0075,3388
DI22-0076,3376
DI22-0076,3381
DI22-0080,3414
DI22-0090,3404
DI22-0090,3419
DI22-0122,3427
DI22-0125,3385
DI22-0125,3396
DI22-0128,3368
DI22-0128,3382
DI22-0149,3413
DI22-0150,3396
DI22-0151,3427
DI22-0157,3433
DI22-0157,3438
DI22-0165,3445
DI22-0182,3444
DI22-0190,3418
DI22-0205,3422
DI22-0217,3441
DI22-0218,3433
DI22-0218,3438
DI22-0218,3442
DI22-0234,3403
DI22-0237,3377
DI22-0238,3369
DI22-0251,3377
DI22-0251,3403
DI22-0253,3370
DI22-0253,3442
DI22-0255,3403
DI22-0256,3377
DI22-0270,3434
DI22-0272,3373
DI22-0273,3435
DI22-0281,3414
DI22-0286,3408
DI22-0323,3420
DI22-0324,3373
DI22-0330,3380
DI22-0332,3384
DI22-0338,3373
DI22-0339,3403
DI22-0353,3433
DI22-0373,3368
DI22-0375,3373
DI22-0376,3415
DI22-0378,3398
DI22-0383,3385
DI22-0395,3381
DI22-0399,3445
DI22-0402,3370
DI22-0413,3382
DI22-0414,3396
DI22-0420,3422
DI22-0426,3380
DI22-0435,3384
DI22-0437,3384
DI22-0439,3376
DI22-0441,3411
DI22-0443,3381
DI22-0443,3414
DI22-0447,3415
DI22-0452,3442
DI22-0459,3406
DI22-0497,3422
DI22-0505,3368
DI22-0505,3382
DI22-0506,3368
DI22-0508,3377
DI22-0520,3440
DI22-0526,3422
DI22-0527,3395
DI22-0528,3393
DI22-0546,3384
DI22-0574,3376
DI22-0576,3393
DI22-0576,3395
DI22-0576,3403
DI22-0581,3384
DI22-0581,3402
DI22-0582,3415
DI22-0584,3384
DI22-0584,3444
DI22-0585,3410
DI22-0585,3411
DI22-0592,3373
DI22-0593,3411
DI22-0646,3418
DI22-0648,3433
DI22-0649,3421
DI22-0668,3427
DI22-0669,3421
DI22-0683,3378
DI22-0702,3403
DI22-0709,3421
DI22-0724,3415
DI22-0729,3398
DI22-0729,3402
DI22-0735,3434
DI22-0748,3390
DI22-0748,3410
DI22-0749,3409
DI22-0755,3414
DI22-0756,3410
DI22-0756,3411
DI22-0757,3434
DI22-0758,3415
DI22-0765,3369
DI22-0778,3409
DI22-0778,3434
DI22-0779,3378
DI22-0810,3369
DI22-0820,3421
DI22-0831,3380
DI22-0837,3385
DI22-0838,3388
DI22-0844,3404
DI22-0845,3421
DI22-0851,3376
DI22-0851,3381
DI22-0865,3376
DI22-0867,3421
DI22-0869,3605
DI22-0877,3438
DI22-0878,3385
DI22-0878,3388
DI22-0891,3427
DI22-0892,3427
DI22-0905,3369
DI22-0925,3396
DI22-0927,3404
DI22-0930,3393
DI22-0934,3381
DI22-0938,3369
DI22-0939,3605
DI22-0941,3438
DI22-0943,3377
DI22-0950,3381
DI22-0950,3414
DI22-0970,3384
DI22-0972,3380
DI22-0981,3438
DI22-0981,3443
DI22-0985,3369
DI22-1006,3380
DI22-1008,3376
DI22-1033,3395
DI22-1034,3605
DI22-1074,3410
DI22-1075,3378
DI22-1086,3408
DI22-1087,3373
DI22-1090,3411
DI22-1091,3373
DI22-1098,3373
DI22-1102,3373
DI22-1102,3419
DI22-1105,3444
DI23-0321,3373
DI23-0321,3409
DI23-0321,3413
DI23-0336,3409
DI23-0336,3434
DI23-0388,3373
EC22-004,3414
EC22-005,3388
EC22-024,3409
EC22-029,3408
FE22-016,3418
FE22-016,3425
FE22-041,3410
FE22-053,3409
FE22-054,3378
FE22-063,3418
FE22-068,3420
IA22-0003,3402
IA22-0004,3409
IA22-0004,3419
IA22-0010,3369
IA22-0010,3397
IA22-0010,3432
IA22-0011,3441
IA22-0018,3368
IA22-0018,3433
IA22-0018,3438
IA22-0022,3376
IA22-0022,3381
IA22-0022,3414
IA22-0027,3406
IA22-0036,3414
IA22-0037,3433
IA22-0037,3438
IA22-0041,3382
IA22-0047,3369
IA22-0061,3414
IA22-0082,3376
IA22-0086,3408
IA22-0090,3376
IA22-0091,3442
IA22-0092,3437
IA22-0100,3373
IA22-0107,3370
IA22-0109,3385
IA22-0110,3414
IA22-0114,3403
IA22-0116,3385
IA22-0123,3432
IA22-0124,3376
IA22-0126,3390
IA22-0126,3418
IA22-0129,3378
IA22-0130,3410
IA22-0139,3418
IA22-0141,3376
IA22-0142,3368
IA22-0143,3368
IA22-0153,3376
IA22-0156,3433
IA22-0165,3433
IA22-0167,3388
IA22-0170,3376
IA22-0179,3378
IA22-0180,3414
IA22-0181,3414
IA22-0192,3369
IA22-0200,3368
IA22-0200,3382
IA22-0226,3377
IA22-0229,3368
IA22-0230,3438
IA22-0234,3433
IA22-0239,3419
IA22-0240,3368
IA22-0240,3369
IA22-0242,3442
IA22-0245,3376
